Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
17,1,1.0,2.0,1.235,0.737,1,1.0,18,2,8.0,6.0,455.0,457.0,2.0
17,1,1.0,2.0,0.5,1.452,1,1.0,19,2,8.0,6.0,175.0,160.0,2.0
17,1,1.0,2.0,1.887,1.114,1,1.0,20,2,9.0,9.0,2212.0,100.0,2.0
17,2,1.0,2.0,0.779,1.194,1,0.0,21,2,9.0,9.0,653.0,653.0,0.0
17,2,1.0,2.0,0.643,0.869,1,0.0,22,2,8.0,8.0,1026.0,1026.0,0.0
17,2,1.0,2.0,1.266,1.299,1,0.0,23,2,7.0,7.0,920.0,920.0,0.0
17,1,1.0,2.0,0.643,1.065,1,1.0,24,2,8.0,7.0,976.0,283.0,2.0
17,1,1.0,3.0,0.586,1.221,1,1.0,25,2,8.0,6.0,896.0,100.0,2.0
17,1,1.0,3.0,0.592,2.462,1,1.0,26,2,9.0,9.0,120.0,1042.0,1.0
17,2,2.0,4.0,0.37,0.981,1,1.0,27,2,8.0,8.0,2183.0,2183.0,0.0
17,2,2.0,3.0,1.98,0.991,1,1.0,28,2,7.0,7.0,212.0,212.0,0.0
17,2,1.0,1.0,1.067,1.257,1,0.0,29,2,8.0,8.0,328.0,328.0,0.0
17,1,1.0,2.0,0.733,0.892,1,1.0,30,2,8.0,7.0,962.0,408.0,2.0
17,2,2.0,4.0,0.278,0.685,1,1.0,31,2,6.0,6.0,422.0,422.0,0.0
17,2,2.0,4.0,0.246,0.951,1,1.0,32,2,7.0,7.0,248.0,248.0,0.0
18,1,2.0,4.0,2.347,0.892,1,0.0,18,2,8.0,8.0,248.0,100.0,2.0
18,2,2.0,4.0,2.191,2.109,1,1.0,19,2,8.0,8.0,134.0,134.0,0.0
18,1,1.0,3.0,2.043,1.884,1,1.0,20,2,9.0,9.0,707.0,889.0,1.0
18,2,1.0,2.0,1.844,1.181,1,0.0,21,2,8.0,8.0,594.0,594.0,0.0
18,1,2.0,3.0,1.062,1.064,1,0.0,22,2,9.0,10.0,653.0,6216.0,2.0
18,1,1.0,3.0,1.917,2.309,1,1.0,23,2,8.0,7.0,1124.0,100.0,2.0
18,2,2.0,4.0,1.134,0.842,1,1.0,24,2,8.0,8.0,175.0,175.0,0.0
18,2,2.0,1.0,1.604,1.289,1,1.0,25,2,8.0,8.0,455.0,455.0,0.0
18,2,2.0,3.0,1.292,2.061,1,1.0,26,2,8.0,8.0,896.0,896.0,0.0
18,1,1.0,4.0,1.249,0.89,1,1.0,27,2,7.0,6.0,613.0,408.0,1.0
18,1,1.0,1.0,2.111,1.29,1,1.0,28,2,8.0,6.0,1026.0,345.0,2.0
18,1,1.0,4.0,1.567,0.527,1,1.0,29,2,7.0,7.0,126.0,126.0,1.0
