Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
3,31,30.0,6,4.585845,2.09052,3,32,2000,1
3,30,38.0,4,5.26464,1.624665,3,32,100,0
3,41,40.0,3,5.95535,2.527025,3,32,2000,1
3,31,44.0,6,3.255865,1.54492,3,32,100,0
3,37,46.0,0,2.51116,4.383275,3,32,2000,1
3,34,35.0,7,3.75231,2.26794,3,32,2000,1
3,37,35.0,4,4.23567,2.183065,3,32,100,0
3,22,29.0,7,4.870035,1.969435,3,32,100,0
3,35,33.0,3,3.873185,1.60169,3,32,2000,1
3,33,31.0,0,5.473595,2.130005,3,32,100,0
3,45,36.0,1,3.339435,1.352715,3,32,2000,1
4,41,39.0,5,2.913355,2.372225,1,48,2000,1
4,46,32.0,2,4.658735,1.77807,1,48,100,0
4,54,48.0,6,2.642305,2.28384,1,48,2000,1
4,54,53.0,4,4.18283,2.953225,1,48,100,0
4,58,60.0,5,2.574575,1.5763,1,48,2000,1
4,47,43.0,3,3.532225,2.10488,1,48,100,0
4,61,57.0,4,3.835635,3.5257,1,48,100,0
4,44,31.0,5,2.51171,2.12478,1,48,2000,1
4,60,40.0,5,4.609605,3.146305,1,48,2000,1
4,42,38.0,2,4.898515,2.338995,1,48,100,0
4,41,49.0,2,3.75801,3.202235,1,48,100,0
4,43,38.0,7,2.829565,2.052485,1,48,2000,1
4,40,29.0,7,3.81917,2.791495,1,48,2000,1
4,53,41.0,1,4.33185,1.806635,1,48,100,0
4,44,33.0,6,2.46001,1.959135,1,48,2000,1
4,39,47.0,2,3.755785,1.7297,1,48,100,0
4,60,55.0,2,4.6863,2.451445,1,48,100,0
4,47,46.0,4,3.32693,2.25028,1,48,2000,1
4,44,38.0,4,3.16865,4.962305,1,48,100,0
4,41,30.0,6,3.49756,2.02458,1,48,2000,1
4,54,56.0,7,3.53381,1.863505,1,48,2000,1
4,60,53.0,2,3.53246,2.233885,1,48,100,0
4,48,32.0,3,4.82715,4.69992,1,48,100,0
4,48,36.0,7,3.20951,2.34313,1,48,2000,1
4,37,28.0,6,2.88677,2.815125,1,48,2000,1
4,60,41.0,2,4.29648,2.056425,1,48,100,0
4,46,46.0,1,3.65842,2.040725,1,48,100,0
4,56,54.0,7,2.980155,1.984265,1,48,2000,1
4,46,40.0,6,2.763345,1.483665,1,48,2000,1
4,63,50.0,2,2.537,3.35589,1,48,100,0
4,61,48.0,4,3.908395,2.45202,1,48,2000,1
4,61,37.0,3,3.56402,2.65353,1,48,100,0
4,43,27.0,6,3.41518,2.459595,1,48,2000,1
4,61,50.0,6,2.811625,2.012205,1,48,100,0
4,63,56.0,5,3.071625,3.230855,1,48,100,0
4,37,24.0,4,2.91886,3.26772,1,48,2000,1
4,55,32.0,5,3.34234,1.9035,1,48,2000,1
4,62,49.0,5,3.17287,2.904095,1,48,100,0
4,58,46.0,6,3.556315,2.32302,1,48,2000,1
4,46,39.0,2,2.82932,2.12944,1,48,100,0
4,45,24.0,4,2.64455,4.87838,2,43,2000,1
4,35,23.0,1,2.812345,2.706355,2,43,100,0
4,45,31.0,4,2.75013,1.603855,2,43,2000,1
4,40,32.0,1,3.94842,3.161635,2,43,100,0
4,40,33.0,1,4.22334,1.94738,2,43,100,0
4,32,21.0,6,1.786265,2.16889,2,43,2000,1
4,50,31.0,4,8.39499,2.01538,2,43,100,0
4,33,22.0,7,2.465495,2.080745,2,43,2000,1
4,55,35.0,3,2.912455,2.690325,2,43,100,0
4,54,40.0,1,6.600775,1.8627,2,43,2000,1
