Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
2,2,2,1,0.761490653,0.426016326,0.133950484,1,1,1,7
2,2,2,1,0.933800302,0.335536966,0.133950484,1,1,1,7
2,1,1,1,0.621310722,0.501578775,0.104618892,1,1,1,7
2,1,1,1,0.908706244,0.425806631,0.104618892,1,1,1,7
2,2,1,1,0.67712347,0.3449103,0.079473562,1,0,1,7
2,2,2,1,0.841049457,0.390702399,0.104618892,1,1,1,7
2,1,1,1,0.899080083,0.446847501,0.104618892,1,1,1,7
2,2,2,1,0.714578897,0.349258423,0.079473562,1,1,1,7
2,2,1,1,0.794917556,0.474715405,0.079473562,1,0,1,7
2,1,2,1,0.725536685,0.470487569,0.100249239,1,0,1,7
2,1,1,1,0.689204295,0.548472993,0.121024916,1,1,1,7
2,1,1,1,0.925115296,0.378087139,0.121024916,1,1,1,7
2,1,1,4,1.040463369,0.231451981,0.3,1,1,3,8
2,1,1,4,0.460105829,0.311744227,0.3,1,1,3,8
2,2,2,4,0.695487925,0.284859345,0.255697168,1,1,3,8
2,2,2,4,0.79694029,0.268501897,0.255697168,1,1,3,8
2,1,1,4,0.397500703,0.285983737,0.214491089,1,1,3,8
